-C,1,Should,
-F,1.5,Old,<
-E,0.5,Ak,
-F,1,Quain,
A,1,tance,
-G,1.5,Be,
-F,0.5,For,>
-G,1,Got,>
A,1,And,
-F,1.5,Ne,
-F,0.5,Ver,
A,1,Brought,
C,1,to,
D,3,Mind,>
D,1,should,
C,1.5,Old,<
A,0.5,Ak,
A,1,Quain,
-F,1,Tance,
-G,1.5,Be,
-F,0.5,For,
-G,1,Got,
A,1,And,
-F,1.5,Days ,
-D,0.5,Of,
-D,0.5,Old,<
-C,1,Lang,
-F,3,Syne,>
D,1,For,
C,1.5,Old,<
-F,0.5,Lang,
-G,1.5,Syne,>
-F,0.5,My,
-G,1,Dear,<
D,1,For,
C,1.5,Old,
A,0.5,Lang,
D,3,Syne,>
D,1,Wheel,
C,1,Take,
A,0.5,a,
A,1,cup,
-F,1,of,
-G,1.5,Kind,
-F,0.5,Ness,
-G,1,Yet,>
A,0.5,for,
-F,2,Auld,
-D,2,Lang,
-F,4,Syne,