-D,1,dash,
B,1,ing,>
A,1,through,
-G,1,the,
-D,1.5,snow,>
-D,0.5,in,<
-D,0.5,a,<
-D,1,one,
B,1,horse,
A,1,oh,
-G,1,pen,
-E,2,slaaay,>
P,2,,
-E,1,over,
C,1,the,
B,1,fields,
A,1,we,
-F,2,go,
D,1,larf,
D,1,ing,
C,1,all,
A,1,the,
B,2,whey,
D,0.5,hah hah hah,
-E,1,bells,
B,1,on,>
A,1,bob,
-G,1,tail,
-D,2,ring,
P,2,,
-D,1,may,
B,1,king,
A,1,spir,
-G,1,its,
-E,1.5,bright,
B,0.5,oh!,>
-E,0.5,what,
-E,1,fun,
C,1,it,
B,1,is,
A,1,to,
D,1,larf,
D,1,and,
D,1,sing,
D,1,a,
E,1,slay,
D,1,ing,
C,1,song,
A,1,to,
-G,1,night,
P,3,,
B,1,jin,
B,1,gell,
B,1,bells,>
P,1,,
B,1,jin,
B,1,gell,
B,1,bells,>
P,1,,
B,1,jin,
D,1,gell,>
-G,1.5,all,
A,0.5,the,
B,2,whey,<
P,2,,
C,1,oh,
C,1,what,
C,1.5,fun,
C,0.5,it,
C,1,is,
B,0.5,to,
B,1,ride,>
B,0.5,in,
B,0.5,a,
B,1,one,<
A,1,horse,
A,1,oh,
B,1,pen,
-G,2,slaaay,>
P,2,,
B,1,jin,
B,1,gell,
B,1,bells,>
P,1,,
B,1,jin,
B,1,gell,
B,1,bells,>
P,1,,
B,1,jin,
D,1,gell,>
-G,1.5,all,
A,0.5,the,
B,2,whey,<
P,2,,
C,1,oh,
C,1,what,
C,1.5,fun,
C,0.5,it,
C,1,is,
B,0.5,to,
B,1,ride,>
B,0.5,in,
B,0.5,a,
B,1,one,<
A,1,horse,
A,1,oh,
B,1,pen,
-G,2,slaaaay,>