C,1,we,
F,1,wish,>
F,0.5,you,
G,0.5,a,
F,0.5,mer,
F,0.5,ree,
E,0.5,crist,
D,1,mas,<
D,1,we,
G,1,wish,>
G,0.5,you,
+A,0.5,a,
G,0.5,mer,
F,0.5,ree,
E,1,crist,
C,1,mas,<
C,1,we,
+A,1,wish,>
+A,0.5,you,
+B,0.5,a,
+A,0.5,mer,
G,0.5,ree,
F,1,crist,
D,1,mas,<
C,0.5,and,
C,0.5,a,
D,1,hap,
G,1,pee,>
E,1,new,
F,2,year,
P,2,,
C,1,glad,
F,1,tie,
F,1,dings,
F,1,we,
E,1,bring,
E,1,for,<
F,1,you,
E,1,and,
D,1,your,
C,2,kin,>
C,1,we,
F,1,wish,>
F,0.5,you,
G,0.5,a,
F,0.5,mer,
F,0.5,ree,
E,0.5,crist,
D,1,mas,<
C,0.5,and,
C,0.5,a,
D,1,hap,
G,1,pee,>
E,1,new,
F,2,year,